날짜,시간,국가,경제지표,실제,예상,이전,중요도
06.24 (Fri), 08:01,gb,GFK 소비자 신뢰지수 Jun,-41,-40,-40,상
06.23 (Thu), 23:00,us,Fed Chair Powell 증언 ,,,,상
06.23 (Thu), 17:30,gb,S&amp;P 글로벌/CIPS 제조업 PMI 플래시 Jun,53.4,53.7,54.6,상
06.22 (Wed), 22:30,us,Fed Chair Powell 증언 ,,,,상
06.22 (Wed), 15:00,gb,인플레이션율(YoY) May,9.1%,9.1%,9%,상
06.21 (Tue), 23:00,us,기존주택판매 May,5.41M,5.4M,5.6M,상
06.16 (Thu), 21:30,us,건축허가 May,1.695M,1.785M,1.823M,상
06.16 (Thu), 21:30,us,신규주택착공 May,1.549M,1.701M,1.81M,상
06.16 (Thu), 20:00,gb,영란은행 기준금리 결정 ,1.25%,1.25%,1%,상
06.16 (Thu), 03:30,us,연준 기자 회견 ,,,,상
06.16 (Thu), 03:00,us,FOMC 경제 예측 ,,,,상
06.16 (Thu), 03:00,us,연준 기준금리 결정 ,1.75%,1.5%,1%,상
06.15 (Wed), 21:30,us,월간 소매 판매 May,-0.3%,0.2%,0.7%,상
06.15 (Wed), 11:00,cn,산업생산 (YOY) May,0.7%,-0.7%,-2.9%,상
06.14 (Tue), 21:30,us,생산자물가지수 (MoM) May,0.8%,0.8%,0.4%,상
06.14 (Tue), 15:00,gb,실업수당청구 변동 May,-19.7K,-49.4K,-65.5K,상
06.14 (Tue), 15:00,gb,실업률 Apr,3.8%,3.6%,3.7%,상
06.13 (Mon), 15:00,gb,GDP(MoM) Apr,-0.3%,0.1%,-0.1%,상
06.10 (Fri), 23:00,us,미시건대 소비자신뢰지수 예상 Jun,50.2,58,58.4,상
06.10 (Fri), 21:30,us,인플레이션율(YoY) May,8.6%,8.3%,8.3%,상
06.10 (Fri), 21:30,us,핵심물가상승률 (YoY) May,6%,5.9%,6.2%,상
06.10 (Fri), 10:30,cn,인플레이션율(YoY) May,2.1%,2.2%,2.1%,상
06.09 (Thu), 12:00,cn,무역수지 May,$78.76B,$58B,$51.12B,상
06.07 (Tue), 21:30,us,무역수지 Apr,$-87.1B,$-89.5B,$-107.7B,상
06.03 (Fri), 23:00,us,ISM 비제조업 구매자관리자지수(PMI) May,55.9,56.4,57.1,상
06.03 (Fri), 21:30,us,비 농장 급여 May,390K,325K,436K,상
06.03 (Fri), 21:30,us,실업률 May,3.6%,3.5%,3.6%,상
06.02 (Thu), 21:15,us,ADP 고용변화 May,128K,300K,202K,상
06.01 (Wed), 23:00,us,ISM 제조업 PMI May,56.1,54.5,55.4,상
06.01 (Wed), 23:00,us,구인·이직 보고서(JOLT) 채용공고 Apr,11.4M,11.4M,11.855M,상
06.01 (Wed), 10:45,cn,Caixin 제조업 구매자관리자지수(PMI) May,48.1,48,46,상
05.31 (Tue), 10:30,cn,NBS 제조업 구매자관리자지수(PMI) May,49.6,,47.4,상
05.27 (Fri), 21:30,us,개인소득 (MoM) Apr,0.4%,0.5%,0.5%,상
05.27 (Fri), 21:30,us,개인소비 Apr,0.9%,0.7%,1.4%,상
05.26 (Thu), 21:30,us,경제성장률(QoQ) 2차 추정치 Q1,-1.5%,-1.3%,6.9%,상
05.26 (Thu), 03:00,us,FOMC 회의록 ,,,,상
05.25 (Wed), 21:30,us,내구재 주문 (월간) Apr,0.4%,0.6%,0.6%,상
05.24 (Tue), 23:00,us,신규주택판매 Apr,0.591M,0.75M,0.709M,상
05.24 (Tue), 17:30,gb,S&amp;P 글로벌/CIPS 제조업 PMI 플래시 May,54.6,55,55.8,상
05.24 (Tue), 17:30,gb,S&amp;P 글로벌/CIPS 영국 서비스 PMI 플래시 May,51.8,57,58.9,상
05.20 (Fri), 15:00,gb,월간 소매 판매 Apr,1.4%,-0.2%,-1.2%,상
05.20 (Fri), 08:01,gb,GFK 소비자 신뢰지수 May,-40,-39,-38,상
05.19 (Thu), 23:00,us,기존주택판매 Apr,5.61M,5.65M,5.75M,상
05.18 (Wed), 21:30,us,건축허가 Apr,1.819M,1.812M,1.879M,상
05.18 (Wed), 21:30,us,신규주택착공 Apr,1.724M,1.765M,1.728M,상
05.18 (Wed), 15:00,gb,인플레이션율(YoY) Apr,9%,9.1%,7%,상
05.18 (Wed), 03:00,us,연준 의장 파월 연설 ,,,,상
